code,name,star
11637,GLo Best Western Brooklyn NYC,3
11638,Hyatt Place Pasadena,3
11639,"The Hills Hotel, an IHG Hotel",3
11640,Wellington Hotel,3
11641,Avalon Hotel & Bungalows Palm Springs,4
11642,Ingleside Inn,4
11643,Holiday Inn Express Benicia,3
11644,"SFO Airport Hotel, El Rancho Inn Signature Collection",3
11645,The Catrina Hotel,2
11647,"Aristocrat Hotel, BW Signature Collection - Half Moon Bay",3
11648,Days Inn by Wyndham Near UC Davis,3
11651,"The Highland Dallas, Curio Collection by Hilton",4
11652,Holiday Inn Express Granbury,3
11653,Fairfield Inn & Suites by Marriott Houston Channelview,3
,,
11655,Kimpton Goodland,4
11656,Hilton Concord,4
11657,Courtyard by Marriott Oakland Downtown,3
11658,Chancellor Hotel On Union Square,3
11661,Old West Lofts Downtown Tampa,3
11664,Quality Suites San Diego SeaWorld Area,3
11665,Aloft Miami Dadeland,3
11668,Ocean Sky Hotel & Resort Fort Lauderdale Beach,4
11671,Holiday Inn Express & Suites Austin NE - Hutto,3
11683,Hyatt Regency Long Beach,4
11684,Hyatt Centric The Pike Long Beach,4
11687,Omni La MansiŻn del Rio RiverWalk,4
11692,"BEI San Francisco, Trademark Collection by Wyndham",4
11694,Hampton Inn & Suites Los Angeles/Hollywood,3
11696,The Gallivant Times Square,4
11716,Best Western Plus Saratoga Springs,3
11740,Porto Vista Hotel,4
11749,Pod Times Square Hotel,3
11750,Hilton Garden Inn New York/Times Square Central,3
11753,Kimpton Hotel Palomar Los Angeles Beverly Hills,4
11758,Flamingo Conference Resort & Spa,4
11760,Hotel Indigo Austin Downtown - University,3
11767,Holiday Inn Express & Suites Austin Downtown - University,3
11772,Starlite Hotel,3
11790,Red Roof PLUS+ Miami Airport,3
11817,Holiday Inn & Suites Silicon Valley - Milpitas,3
11818,Hilton Garden Inn Irvine Spectrum/Lake Forest,3
11819,Hyatt Regency Greenwich,4
11824,Hotel Chino Hills,3
11832,Comfort Inn Silicon Valley East,3
11833,The County Inn,3
11834,Signia by Hilton Orlando Bonnet Creek,4
11835,The Plaza Suites Silicon Valley,4
11836,Ramada by Wyndham Bronx Terminal,3
11846,Candlewood Suites San Antonio Downtown,3
11847,Hotel Van Zandt,4
11848,Holiday Inn Palm Beach-Airport Conference Center,3
11853,Radisson Dallas North-Addison,3
11856,Hyatt Place New York City/Times Square,3
,,
11859,La Quinta Inn & Suites by Wyndham Times Square South,3
11866,Candlewood Suites San Antonio Airport,3
11868,The Westin at The Woodlands,4
11869,Holiday Inn Express Costa Mesa,3
11870,Fairfield Inn by Marriott Mission Viejo Orange County,3
12655,Hotel Shocard,3
,,
12701,Novotel Miami Brickell,4
12721,Mama Shelter Los Angeles,4
12935,Marco LaGuardia Hotel and Suites,4
12944,Embassy Suites by Hilton San Rafael Marin County,4
12948,Holiday Inn Los Angeles Gateway - Torrance,3
12954,Radisson Hotel Sunnyvale ? Silicon Valley,4
12957,La Jolla Cove Hotel & Suites,3
12962,Hilton Anaheim,4
12967,Hilton Garden Inn Lake Buena Vista/Orlando,3
12968,Holiday Inn Express & Suites Carlsbad Beach,3
12969,DoubleTree by Hilton Hotel Claremont,4
12973,The Maxwell New York City,4
12982,Red Roof PLUS+ San Francisco Airport,3
12994,Hilton Seattle,4
13000,La Quinta Inn & Suites by Wyndham Dallas Downtown,3
13001,Hotel Marguerite - Trademark Collection By Wyndham,3
13006,Travelodge by Wyndham Seattle By The Space Needle,2
13008,Torrance Inn & Suites,3
,,
,,
13011,Holiday Inn New York City - Times Square,3
13026,The Belltown Inn,3
13027,Hotel del Coronado,4
13028,La Quinta Inn & Suites by Wyndham San Diego SeaWorld/Zoo,3
13029,Eden Roc Inn & Suites,3
13040,Hotel Derek Houston Galleria,4
13067,Courtyard by Marriott Vallejo Napa Valley,3
13072,Aloft Syracuse Inner Harbor,3
13073,The Brooklyn,4
,,
13078,AC Hotel by Marriott Pleasanton,4
13086,Hyatt Regency DFW,4
13087,SpringHill Suites by Marriott Pasadena Arcadia,3
13088,Madison LES Hotel,3
13090,Residence Inn by Marriott Los Angeles LAX/Century Boulevard,3
13093,SpringHill Suites by Marriott Irvine John Wayne Airport/Orange County,3
13095,Homewood Suites by Hilton Miami Dolphin Mall,3
13096,Holiday Inn Express & Suites Ontario Airport,3
13100,Opal Hotel & Suites,3
13101,Zenmotel Inn,3
13103,Gowanus Inn & Yard,3
13104,Holiday Inn Express Times Square South,3
13105,Moxy NYC Downtown,4
13106,Lord & Moris ? Times Square Hotel,3
13107,Fairfield Inn & Suites by Marriott New York Queens/Queensboro Bridge,3
13108,BKLYN House Hotel,3
13111,Hotel RL Brooklyn,3
13116,Hyatt House Seattle Downtown,3
13118,Comfort Suites Near City of Industry - Los Angeles,3
13123,Civic Hotel,3
13124,Hampton Inn & Suites West Sacramento,3
13127,Hotel de Point,3
13128,Fairfield Inn & Suites by Marriott New York Manhattan Chelsea,3
13132,Executive Hotel Pacific,3
13136,Hampton Inn & Suites Lakeland-South Polk Parkway,3
13146,Quality Inn Miami Doral,3
13150,Clarion Inn Near Jblm,3
13158,Wingate by Wyndham Miami Airport DOUBLON,3
13160,Sheraton Brooklyn New York,4
13165,Hilton Garden Inn Arcadia/Pasadena Area,3
13169,Hotel Belmont,2
,,
13178,Colony Inn North Hollywood,3
13179,Hyatt House Manhattan Chelsea,3
13183,The Solita Soho Hotel,3
13184,Days Inn by Wyndham Woodbury Long Island,2
13185,Super 8 by Wyndham Bedford DFW Airport West,2
13196,Ramada by Wyndham Rockville Centre,3
13197,Ramada by Wyndham Bronx,3
13198,Comfort Inn Long Island City,3
13201,Hampton Inn & Suites Tallahassee I-10-Thomasville Rd,3
13202,Clarion Inn Auburn Seattle,3
13203,Home2 Suites by Hilton San Francisco Airport North,3
13204,Springhill Suites by Marriott Madera,3
13205,Fairfield Inn & Suites by Marriott Fresno Clovis,3
13208,HNA Palisades Premier Conference Center,3
13210,Hilton Brooklyn New York,4
13211,Courtyard by Marriott St. Petersburg Downtown,3
13214,Hotel Indigo Brooklyn,4
13216,Four Points by Sheraton Financial District,4
13224,Holiday Inn Express & Suites Houston Energy Corridor - West Oaks,3
13231,Comfort Inn Castro Valley,3
13232,Fairfield Inn & Suites by Marriott Tampa Fairgrounds/Casino,3
,,
13242,Grand Hyatt at SFO,4
13248,Hyatt Place Lake Mary/Orlando-North,3
13249,Courtyard by Marriott Fairfield Napa Valley Area,3
13259,Hampton Inn & Suites Windsor - Sonoma Wine Country,3
13260,Corporate Inn Sunnyvale,3
13261,Best Western Plus Dixon Davis,3
13264,Residence Inn Fort Lauderdale/SW Miramar,3
13265,Beverly Hills Plaza Hotel & Spa,4
13266,Hilton Garden Inn Fontana,3
13267,Embassy Suites by Hilton Valencia,4
